,Price,Return,SMA_50,SMA_200,Volatility,Upper_band,Lower_band,MACD,MACD_signal,RSI
2020-01-01,100.03172724672709,,,,,,,0.0,0.0,
2020-01-02,100.48111964888204,0.004492498675410683,,,,,,0.010082521843230552,0.005601401024016973,100.0
2020-01-03,100.12625260128429,-0.003531678874974631,,,,,,0.001842728164234586,0.004060961327384848,54.042290320032784
2020-01-06,98.91527047972666,-0.012094551529656439,,,,,,-0.04567210037967584,-0.012786281798313214,20.09796432030609
2020-01-07,98.31712651142361,-0.0060470336420466175,,,,,,-0.09433095990429763,-0.03704397994978406,15.064727166371412
2020-01-08,96.99070868667073,-0.013491218385016213,,,,,,-0.1785268277886587,-0.07539369800828724,9.426804386467609
2020-01-09,97.10153635935568,0.001142662778586212,,,,,,-0.2244267152932906,-0.11310997884400704,12.377510706914848
2020-01-10,98.97034017489604,0.01924587278026424,,,,,,-0.16271556389060038,-0.12503113376393699,44.94683600370065
2020-01-13,98.32018233822892,-0.006569218975282842,,,,,,-0.14976266209637856,-0.13074423950247574,39.45258593559163
2020-01-14,97.49905359094157,-0.008351578768056034,,,,,,-0.18069114749282278,-0.14193524630634324,33.828308695209074
2020-01-15,98.19943481538469,0.007183466901961699,,,,,,-0.1631933069121203,-0.1465863884996879,41.4900720028598
2020-01-16,98.72091986311608,0.00531046893204401,,,,,,-0.1194988795507328,-0.14076912758371438,46.46080443915991
2020-01-17,98.89638417046692,0.0017773771516120807,,,,,,-0.07559704948391754,-0.12697645158163326,48.05972424819515
2020-01-20,97.6457491489119,-0.012645912507774804,,,,,,-0.11423611410980072,-0.1243111634767595,39.0972564619334
2020-01-21,97.63505503364894,-0.00010951951678572769,,,,,,-0.14255283530252427,-0.12809254331722872,39.03022998362139
2020-01-22,98.61968079577763,0.010084756564016306,,,,,,-0.10253042717285155,-0.1228320503755281,47.8884267038761
2020-01-23,96.81014963816756,-0.01834858055723443,,,,,,-0.182717391707925,-0.13508503124233717,37.19350852978058
2020-01-24,96.22076817486622,-0.006088013142260151,,,,,,-0.27904498508836184,-0.16440520734828282,34.49157296374088
2020-01-27,93.7215452464097,-0.025973840947877025,,,,,,-0.5100017504341992,-0.23453519561027958,25.899582140478472
2020-01-28,92.07234005797088,-0.01759686296360985,,,,101.81151445680261,93.71802000148308,-0.7893590889402873,-0.3467942328575697,22.00427088334702
2020-01-29,89.75558757397117,-0.025162306970160975,,,0.18740066054482557,102.51283250666256,91.98908798434758,-1.149012047659923,-0.5087314025809948,17.92564532641613
2020-01-30,89.48750500814549,-0.0029868064270064387,,,0.1840471821686791,102.77640572568663,90.62615330124984,-1.4317502827077817,-0.6947074395494723,17.520940953472746
2020-01-31,87.93999931355577,-0.017292980673099034,,,0.18831713909522807,103.09442287653238,89.08951082163125,-1.7391879256381486,-0.9048439638662831,15.364533413257249
2020-02-03,88.30109045525906,0.004106108079621418,,,0.190587137093906,103.23907312361743,87.88344257209943,-1.9326160306312516,-1.111373686258016,17.903558605657437
2020-02-04,88.5216338287384,0.002497629104490917,,,0.19271729901645224,103.24294749770974,86.9000189297386,-2.0449794869060725,-1.298802934065833,19.49215897742566
